subtype,truth_name,hemisphere,year,consensus_sites_used,predicted_em_sites_used,recommended_accession,recommended_isolate,recommended_clade,stage1_distance,stage2_distance,stage3_distance,candidate_count,truth_clade,predicted_clade_norm,truth_clade_norm,clade_match
H1N1,H1N1,south,2019,566,8,EPI_ISL_294112,A/Sachsen-Anhalt/101/2017,6B.1A.1,0,1,55,21036,6B.1A.5a,6B.1A.1,6B.1A.5a,False
H1N1,H1N1,south,2020,566,10,EPI_ISL_359829,A/Wisconsin/356/2019,6B.1A.5a,0,1,55,32331,6B.1A.5a.2,6B.1A.5a,6B.1A.5a.2,False
H1N1,H1N1,south,2021,566,14,EPI_ISL_480506,A/England/5/2020,6B.1A.5a.1,0,2,56,40903,6B.1A.5a.1,6B.1A.5a.1,6B.1A.5a.1,True
H1N1,H1N1,south,2022,566,14,EPI_ISL_2522013,A/Michigan/41/2020,6B.1A.5a.1,0,1,55,43146,6B.1A.5a.2a,6B.1A.5a.1,6B.1A.5a.2a,False
H1N1,H1N1,south,2023,566,21,EPI_ISL_7992362,A/Nizwa/72126242/2021,6B.1A.5a.2a,1,3,54,45255,6B.1A.5a.2a,6B.1A.5a.2a,6B.1A.5a.2a,True
H1N1,H1N1,south,2024,566,22,EPI_ISL_18134982,A/Netherlands/10530/2023,6B.1A.5a.2a,0,2,54,59522,6B.1A.5a.2a,6B.1A.5a.2a,6B.1A.5a.2a,True
Victoria,B,north,2013,585,0,B/South_Carolina/04/2012,B/South Carolina/04/2012,V1A,0,0,58,1616,V1A,V1A,V1A,True
Victoria,B,north,2014,585,1,B/Maryland/07/2012,B/Maryland/07/2012,V1A,0,0,58,2023,V1A,V1A,V1A,True
Victoria,B,north,2015,585,2,B/California/17/2014,B/California/17/2014,V1A,0,0,58,2395,V1A,V1A,V1A,True
Victoria,B,north,2016,585,3,B/Mexico/1141/2015,B/Mexico/1141/2015,V1A,0,0,58,3004,V1A,V1A,V1A,True
Victoria,B,north,2017,585,3,B/Delaware/19/2016,B/Delaware/19/2016,V1A,0,0,58,5805,V1A,V1A,V1A,True
Victoria,B,north,2018,585,3,B/Delaware/19/2016,B/Delaware/19/2016,V1A,0,0,58,8615,V1A.1,V1A,V1A.1,False
Victoria,B,north,2019,585,6,B/Florida/17/2017,B/Florida/17/2017,V1A.1,0,0,58,10243,V1A.3,V1A.1,V1A.3,False
Victoria,B,north,2020,585,9,B/Singapore/MOH0108/2019,B/Singapore/MOH0108/2019,V1A.3,0,0,58,14418,V1A.3a.1,V1A.3,V1A.3a.1,False
Victoria,B,north,2021,585,15,B/Lisboa/RL036/2019,B/Lisboa/RL036/2019,V1A.3a.1,0,0,58,18873,V1A.3a.2,V1A.3a.1,V1A.3a.2,False
Victoria,B,north,2022,585,18,B/Switzerland/9761/2019,B/Switzerland/9761/2019,V1A.3a.2,0,0,58,21744,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
Victoria,B,north,2023,585,18,B/Saint-Petersburg/RII-8764S/2023,B/Saint-Petersburg/RII-8764S/2023,V1A.3a.2,0,0,58,24266,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
Victoria,B,north,2024,585,19,B/Goias/520433838-IAL/2023,B/Goias/520433838-IAL/2023,V1A.3a.2,0,0,58,36459,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
Victoria,B,south,2013,585,0,B/Latvia/12-37919/2010,B/Latvia/12-37919/2010,V1A,0,0,58,1444,V1A,V1A,V1A,True
Victoria,B,south,2014,585,0,B/South_Carolina/04/2012,B/South Carolina/04/2012,V1A,0,0,58,1890,V1A,V1A,V1A,True
Victoria,B,south,2015,585,2,B/HYOGO/1227/2014,B/HYOGO/1227/2014,V1A,0,1,58,2270,V1A,V1A,V1A,True
Victoria,B,south,2016,585,3,B/NAGASAKI/68/2015,B/NAGASAKI/68/2015,V1A,0,0,58,2783,V1A,V1A,V1A,True
Victoria,B,south,2017,585,3,B/Delaware/19/2016,B/Delaware/19/2016,V1A,0,0,58,4961,V1A,V1A,V1A,True
Victoria,B,south,2018,585,3,B/Delaware/19/2016,B/Delaware/19/2016,V1A,0,0,58,7976,V1A.1,V1A,V1A.1,False
Victoria,B,south,2019,585,7,B/Finland/843/2018,B/Finland/843/2018,V1A.1,0,0,58,9584,V1A.3,V1A.1,V1A.3,False
Victoria,B,south,2020,585,10,B/Darwin/50/2019,B/Darwin/50/2019,V1A.3,0,0,58,11818,V1A.3,V1A.3,V1A.3,True
Victoria,B,south,2021,585,11,B/Singapore/MOH0108/2019,B/Singapore/MOH0108/2019,V1A.3,0,0,58,18343,V1A.3a.2,V1A.3,V1A.3a.2,False
Victoria,B,south,2022,585,18,B/Guizhou-Xixiu/1218/2021,B/Guizhou-Xixiu/1218/2021,V1A.3a.2,0,1,60,20847,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
Victoria,B,south,2023,585,18,B/Switzerland/9761/2019,B/Switzerland/9761/2019,V1A.3a.2,0,0,58,22832,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
Victoria,B,south,2024,585,18,B/France/ARA-HCL023045480901/2023,B/France/ARA-HCL023045480901/2023,V1A.3a.2,0,0,58,33390,V1A.3a.2,V1A.3a.2,V1A.3a.2,True
